epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.281,1.85921,3.09895,1.48888,0.34404,0.17342,0.15381,0.07754,1.74759,2.99867,1.40565,0.000408951,0.000408951,0.000408951
2,20.9899,1.70178,2.28506,1.33792,0.31486,0.36809,0.24456,0.12251,1.86694,2.39448,1.55067,0.00080927,0.00080927,0.00080927
3,28.9453,1.68061,1.99955,1.3287,0.22933,0.24459,0.17116,0.09538,1.92758,3.17821,1.62498,0.00119309,0.00119309,0.00119309
4,36.5492,1.68485,1.8815,1.3417,0.44503,0.33022,0.30807,0.1595,1.87839,2.06219,1.5277,0.00117575,0.00117575,0.00117575
5,44.2384,1.6176,1.78125,1.31396,0.40399,0.41799,0.34204,0.18019,1.80733,2.1089,1.4789,0.001151,0.001151,0.001151
6,51.6829,1.62026,1.74447,1.31167,0.43704,0.38812,0.37696,0.19011,1.84524,1.98693,1.45042,0.00112625,0.00112625,0.00112625
7,59.1383,1.62398,1.70065,1.30805,0.37329,0.41693,0.37078,0.19914,1.78627,1.9262,1.40691,0.0011015,0.0011015,0.0011015
8,66.6909,1.61017,1.6605,1.29322,0.40608,0.48659,0.38104,0.19712,1.79304,1.91595,1.42196,0.00107675,0.00107675,0.00107675
9,74.0994,1.52906,1.91771,1.242,0.53649,0.44782,0.47341,0.25823,1.76059,1.66297,1.4236,0.001052,0.001052,0.001052
10,81.8061,1.57105,1.51478,1.26579,0.46322,0.44896,0.40734,0.2109,1.7436,1.97513,1.39536,0.00102725,0.00102725,0.00102725
11,89.3202,1.58147,1.52105,1.26515,0.541,0.50155,0.51312,0.28305,1.73512,1.62956,1.37541,0.0010025,0.0010025,0.0010025
12,96.8101,1.54332,1.4109,1.24552,0.57876,0.49767,0.51681,0.28669,1.71666,1.6359,1.39199,0.00097775,0.00097775,0.00097775
13,104.378,1.53434,1.43653,1.25407,0.6003,0.50533,0.54055,0.28648,1.72456,1.51838,1.37053,0.000953,0.000953,0.000953
14,111.927,1.52159,1.3786,1.23137,0.53378,0.53105,0.51923,0.2732,1.72319,1.57472,1.37869,0.00092825,0.00092825,0.00092825
15,119.736,1.52698,1.3523,1.23983,0.58564,0.49973,0.53561,0.29661,1.70604,1.55694,1.35782,0.0009035,0.0009035,0.0009035
16,127.101,1.49136,1.356,1.217,0.55939,0.49678,0.52294,0.28528,1.72046,1.63563,1.37556,0.00087875,0.00087875,0.00087875
17,134.711,1.49129,1.26842,1.2088,0.56717,0.56388,0.57934,0.32447,1.71471,1.46151,1.37249,0.000854,0.000854,0.000854
18,142.424,1.50755,1.30649,1.21352,0.56473,0.57827,0.58606,0.32497,1.72049,1.43245,1.38293,0.00082925,0.00082925,0.00082925
19,149.917,1.52506,1.29827,1.23381,0.64563,0.55908,0.61044,0.34065,1.69042,1.38601,1.34821,0.0008045,0.0008045,0.0008045
20,157.637,1.46566,1.20384,1.19007,0.65292,0.58883,0.6173,0.35127,1.69877,1.39356,1.35263,0.00077975,0.00077975,0.00077975
21,165.28,1.44283,1.24388,1.21077,0.58952,0.61398,0.62972,0.35768,1.68028,1.35169,1.35369,0.000755,0.000755,0.000755
22,172.98,1.46487,1.22285,1.20285,0.62208,0.56757,0.613,0.33996,1.67382,1.3631,1.3233,0.00073025,0.00073025,0.00073025
23,180.433,1.46746,1.26292,1.21354,0.61235,0.5736,0.60529,0.34333,1.65556,1.40994,1.32901,0.0007055,0.0007055,0.0007055
24,188.464,1.44307,1.15843,1.19011,0.65154,0.57142,0.60424,0.34372,1.69474,1.35582,1.34724,0.00068075,0.00068075,0.00068075
25,196.001,1.4299,1.14641,1.18135,0.72042,0.51757,0.61564,0.34872,1.67597,1.38152,1.3393,0.000656,0.000656,0.000656
26,203.593,1.42401,1.13943,1.18502,0.59949,0.55822,0.59752,0.33187,1.69155,1.38003,1.34854,0.00063125,0.00063125,0.00063125
27,210.991,1.41761,1.12272,1.16932,0.67918,0.55971,0.63052,0.35426,1.68881,1.29721,1.33813,0.0006065,0.0006065,0.0006065
28,218.736,1.4065,1.10191,1.17109,0.62785,0.58037,0.62705,0.35668,1.66594,1.34163,1.32634,0.00058175,0.00058175,0.00058175
29,226.092,1.38946,1.21639,1.17222,0.64685,0.61058,0.66074,0.37045,1.67153,1.28799,1.32069,0.000557,0.000557,0.000557
30,233.666,1.37363,1.05526,1.15285,0.64141,0.64012,0.66016,0.37565,1.66587,1.26761,1.32375,0.00053225,0.00053225,0.00053225
31,241.226,1.37948,1.08118,1.1585,0.66668,0.61238,0.66238,0.37736,1.66053,1.2834,1.31343,0.0005075,0.0005075,0.0005075
32,248.639,1.38608,1.04358,1.15482,0.65923,0.56892,0.63734,0.36126,1.67351,1.2795,1.32399,0.00048275,0.00048275,0.00048275
33,256.235,1.38625,1.04853,1.16161,0.69443,0.57945,0.6593,0.37694,1.6615,1.27,1.32397,0.000458,0.000458,0.000458
34,263.552,1.37652,1.04368,1.1581,0.66379,0.61743,0.65752,0.37991,1.65195,1.24382,1.31285,0.00043325,0.00043325,0.00043325
35,271.313,1.33034,0.95583,1.11984,0.69434,0.58504,0.6561,0.37506,1.66057,1.26916,1.32246,0.0004085,0.0004085,0.0004085
36,279.27,1.35283,0.97911,1.1244,0.66551,0.59713,0.65089,0.36996,1.65984,1.25599,1.31855,0.00038375,0.00038375,0.00038375
37,286.433,1.32086,0.95885,1.13701,0.70424,0.61032,0.67873,0.38776,1.65344,1.2357,1.3126,0.000359,0.000359,0.000359
38,294.02,1.31744,0.95672,1.11862,0.70161,0.57849,0.66816,0.38918,1.63282,1.24204,1.31064,0.00033425,0.00033425,0.00033425
39,302.353,1.30602,0.91758,1.11403,0.70343,0.60414,0.67379,0.39202,1.6341,1.22315,1.32091,0.0003095,0.0003095,0.0003095
40,309.894,1.32191,0.95558,1.12519,0.68261,0.60012,0.65349,0.37337,1.63472,1.22368,1.30739,0.00028475,0.00028475,0.00028475
41,319.507,1.35038,0.92926,1.1384,0.69363,0.62672,0.65695,0.37867,1.65516,1.24469,1.33389,0.00026,0.00026,0.00026
42,327.176,1.31995,0.88933,1.12382,0.64359,0.63003,0.65279,0.3794,1.64012,1.22846,1.31932,0.00023525,0.00023525,0.00023525
43,333.83,1.31752,0.89425,1.12563,0.68274,0.62563,0.67395,0.38767,1.66111,1.22064,1.32609,0.0002105,0.0002105,0.0002105
44,340.957,1.28564,0.82975,1.10918,0.67098,0.63396,0.67552,0.39324,1.64662,1.18615,1.314,0.00018575,0.00018575,0.00018575
45,347.799,1.2763,0.87112,1.10781,0.72887,0.61342,0.68335,0.39391,1.63716,1.21179,1.31085,0.000161,0.000161,0.000161
46,355.13,1.27828,0.83654,1.10638,0.71735,0.59388,0.67736,0.38725,1.64661,1.21019,1.31142,0.00013625,0.00013625,0.00013625
47,362.46,1.26285,0.79151,1.09689,0.68957,0.63199,0.68358,0.39284,1.64704,1.21508,1.31581,0.0001115,0.0001115,0.0001115
48,369.432,1.25245,0.791,1.09159,0.68715,0.63567,0.69265,0.40101,1.65087,1.19679,1.31783,8.675e-05,8.675e-05,8.675e-05
49,376.519,1.23367,0.80595,1.08476,0.71707,0.60653,0.69058,0.40234,1.63704,1.20914,1.30943,6.2e-05,6.2e-05,6.2e-05
50,383.585,1.25373,0.84595,1.10059,0.71845,0.61645,0.6945,0.40427,1.63703,1.19892,1.30845,3.725e-05,3.725e-05,3.725e-05
